Input,Predicted,Actual
Scott died protecting us.,<unk> <unk> से से से <unk>,स्कॉट हमें बचाने में मर गया.
"Look, I already told you.","<unk> , <unk> भी भी भी भी .","देखो, मैं तुम्हें पहले ही कहा था."
He doesn't show just anybody.,<unk> किसी भी नहीं नहीं नहीं नहीं,उन्होंने सिर्फ किसी को भी दिखाई नहीं देता.
"Hey, there's skittles in there.",<unk> <unk> <unk> <unk> <unk> . .,"अरे, वहाँ में skittles है."
Herakles did it by himself.,<unk> <unk> के <unk> <unk> है ।,Herakles खुद के द्वारा किया था.
She's coming back tonight?,<unk> <unk> के के <unk> ? ?,वो आज रात आ रही हैं ?
- Don't anybody move inside!,<unk> <unk> <unk> कोई नहीं नहीं नहीं,- किसी को भी अंदर कदम नहीं है!
Watch camera is so outdated,<unk> <unk> <unk> <unk> <unk> है,घड़ी कैमरा इतना पुराना है
Be gone with you!,<unk> <unk> <unk> <unk> मारने !,आप के साथ चला गया हो!
I need some photos done.,<unk> <unk> <unk> <unk> <unk> है .,- मुझे कुछ तस्वीरें बनवानी हैं।
Bringing out the full package.,<unk> <unk> <unk> .,पूरा पैकेज बाहर लाना.
Proud of us all.,हमारे से <unk> से है .,हम सब की गर्व.
- Why are you late?,<unk> इंतज़ार इंतज़ार <unk> कर रहे,- तुमने देर क्यों की?
He was in grief.,<unk> <unk> <unk> में . .,उन्होंने कहा कि दु: ख में किया गया था।
-What do we do?,<unk> हम पर करते ? ?,हम क्या करते हैं?
My car won't start.,<unk> में <unk> <unk> . . .,.? . मेरी कार शुरू नहीं होगा
I'm visiting from America.,<unk> <unk> <unk> <unk> <unk> .,L'मीटर अमेरिका से मिलने.
My name is Okhwan Yoon.,<unk> <unk> <unk> <unk> <unk> है,मेरा नाम ओखवान यून है.
What destiny do we-?,कितनी <unk>,"क्या नियति है हमें,?"
"Hey, what are you doing?","<unk> , क्या क्या कर रहे ?",अरे तुम क्या कर रहे हो?
"- Bless you, Alexander.","<unk> <unk> , <unk> <unk> .","-, सिकंदर तुम्हें आशीर्वाद."
( Gasps ) Stop!,( <unk> ) ) ) ),(हांफते हुए) बंद करो!
I'm gonna stay with him.,<unk> <unk> <unk> वाला रहा .,मैं उसके साथ रहने वाला हूँ.
Only in the Philippines.,<unk> में में <unk>,केवल फ़िलीपींस में.
Do you know blue rays?,<unk> <unk> <unk> <unk> <unk> <unk> ?,आप नीले किरणों को जानते हो?
That shall stand alone.,<unk> <unk> <unk> हो .,अकेले खड़े जायेगा.
What do you think?,आप आप <unk> हो ? ?,आप क्या सोचते हैं?
"Yes, they have five cars.","<unk> , , नीचे नीचे है है .","हाँ, वे पांच कारें हैं."
She was the deciding vote.,<unk> <unk> <unk> <unk> <unk>,वह निर्णायक मतदान था।
And Captain Jack Sparrow?,<unk> <unk> <unk> <unk> <unk> ?,और कप्तान जैक स्पैरो?
Even your father recognized that.,<unk> <unk> <unk> कि <unk> . .,यहां तक ​​कि अपने पिता मान्यता है कि.
I tied my shoe today.,<unk> <unk> <unk> <unk> <unk> कर .,मैंआजमेराजूताबंधे
You can't have armed prisoners.,<unk> <unk> <unk> नहीं नहीं नहीं नहीं नहीं,तुम्हारे बंदियों को सशस्त्र नहीं होना चाहिए।
How is our former President?,<unk> <unk> <unk> <unk> <unk> है ?,हमारे पूर्व राष्ट्रपति कैसे है?
"Trouble, leave me alone","<unk> , , मैं <unk>","मुसीबत,मुझेअकेलाछोड़दो"
He sucker punched me.,<unk> <unk> <unk> <unk> <unk> <unk>,वह चूसने वाला मुझे मुक्का मारा.
Get out of here.,<unk> से से बाहर . .,यहां से चले जाओ.
The thought reaching the eyes...,<unk> <unk> <unk> <unk> . . .,The thought reaching the eyes...
We're back in the game.,<unk> <unk> <unk> <unk> . . .,हम खेल में वापस आ रहे हैं.
- My cigarette counter.,<unk> <unk> <unk> <unk> <unk>,- मेरा cigarette counter.
I really missed you.,<unk> <unk> <unk> <unk> <unk> .,मैं वास्तव में तुम्हें याद किया.
I'll be all right.,<unk> <unk> हो हो जाएगा .,मैं सब ठीक हो जाएगा.
"OI, DON'T BE MAD.",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,"ओय, पागल मत बनो."
(HONKY-TONK MAN PLAYING ON RADIO),<unk> <unk> <unk> <unk> <unk> <unk> <unk>,(Honky-टोंक आदमी रेडियो पर खेल)
They didn't actually want magic.,<unk> किसी कभी नहीं नहीं नहीं नहीं,वे वास्तव में जादू नहीं चाहता था.
Stop swinging the bat.,<unk> <unk> <unk> <unk> .,बल्ला झूलाना बंद करो.
So where'd you serve?,<unk> <unk> कहाँ <unk> ? ?,तो आप की सेवा कहाँ?
Here's your boy right now.,<unk> <unk> <unk> है है है . .,यहाँ अपने लड़के अभी है।
"- Okay, helmets on.","<unk> , <unk> <unk> <unk> .","- Okay, हेलमेट पहन लो ."
It's gonna break their hearts.,<unk> <unk> <unk> <unk> <unk> . .,यह होने वाला है उनके दिल टूट रहा है।
What about our garden?,<unk> <unk> <unk> में में ?,हमारे बगीचे के बारे में क्या?
- Not yet but...,<unk> भी भी . .,- अभी नहीं पर...
I ought to kill you.,<unk> <unk> <unk> लिए लिए लिए,मैं तुम्हें मार चाहिए.
- Give me my diary.,मुझे अपनी <unk> <unk> <unk> .,- इस नक्शे पर कोई नक्शा नहीं है।
- ESPECIALLY THE OLDER ONES.,<unk> <unk> <unk> <unk> <unk> <unk>,- विशेष रूप से पुराने लोगों को.
Getting what I say?,<unk> <unk> क्या है ?,मैं क्या कह रही है? !
GIVE US A GO?,<unk> <unk> <unk> <unk> <unk> ?,अमेरिका एक जाने दे?
"- No, of course not.","<unk> , , , . .","- नहीं, बिल्कुल नहीं."
"Now, he's gonna ask.","<unk> , वह वह <unk> किया .","अब, वह पूछने वाला है."
Then do one thing.,<unk> एक <unk> है .,फिर एक काम करो।
Ain't nobody tell me no.,<unk> नहीं नहीं नहीं नहीं नहीं नहीं .,नहीं कोई भी मुझे बता नहीं है।
"Oh that, that's John Woo.","<unk> <unk> , <unk> <unk> <unk> <unk> .","ओह, कि जॉन वू है।"
Our guests have arrived.,<unk> <unk> <unk> <unk> <unk>,हमारे मेहमान आ चुके हैं.
What's your 10-20? 10-20...,<unk> . .,चलो दस बजे मिलते हैं आमने-सामने।
"You understand this, don't you?","<unk> <unk> , नहीं नहीं नहीं है ?","आप इस बात को समझ , तुम नहीं करते?"
You were talking about,<unk> <unk> में में कर,आप के बारे में बात कर रहे थे
I figured out the message.,<unk> <unk> <unk> <unk> .,मैंने उस संदेश को पूरा समझा है .
I can try to...,<unk> के के . . .,मैं कोशिश कर सकती हूं ...
"- Oh, Your Majesty, no.","<unk> , <unk> , , , नहीं","- ओह, महाराज, नहीं."
"No, no I don't.","<unk> , नहीं नहीं नहीं नहीं नहीं","नहीं, नहीं मैं नहीं जानता."
About time you did something.,<unk> <unk> कुछ कुछ कुछ था .,समय के बारे में आप कुछ किया।
Come inside and get warm.,<unk> <unk> <unk> और <unk> और,अंदर आओ और गर्म हो.
So... thanks for listening.,<unk> . . . . . .,तो... -सुनने के लिए शुक्रिया.
